strategy_mode,config,total_trades,wins,losses,win_rate_pct,total_pl,final_equity,return_pct,max_dd_pct,pl_per_trade,score,db_path,risk_pct,sl_atr_mult,rr,avg_sl_pips,avg_tp_pips,daily_max_losses
FULL,FULL_R0.01_ATR1.0_RR1.0_DL1,775,418,357,53.94,-7951.66,2048.34,-79.52,79.76,-10.2602,-0.997,,0.01,1.0,1.0,4.77,4.77,1
FULL,FULL_R0.01_ATR1.0_RR1.0_DL2,1153,630,523,54.64,-8913.11,1086.89,-89.13,89.3,-7.7304,-0.9981,,0.01,1.0,1.0,4.75,4.75,2
FULL,FULL_R0.01_ATR1.0_RR1.0_DL3,1305,700,605,53.64,-9393.41,606.59,-93.93,94.03,-7.198,-0.999,,0.01,1.0,1.0,4.71,4.71,3
FULL,FULL_R0.01_ATR1.0_RR1.0_DL4,1359,727,632,53.5,-9484.68,515.32,-94.85,94.97,-6.9792,-0.9987,,0.01,1.0,1.0,4.68,4.68,4
FULL,FULL_R0.01_ATR1.0_RR1.0_DL5,1378,735,643,53.34,-9529.39,470.61,-95.29,95.41,-6.9154,-0.9988,,0.01,1.0,1.0,4.67,4.67,5
FULL,FULL_R0.01_ATR1.0_RR1.25_DL1,709,319,390,44.99,-8546.25,1453.75,-85.46,85.6,-12.0539,-0.9984,,0.01,1.0,1.25,4.8,6.0,1
FULL,FULL_R0.01_ATR1.0_RR1.25_DL2,1100,512,588,46.55,-9275.65,724.35,-92.76,92.92,-8.4324,-0.9982,,0.01,1.0,1.25,4.78,5.98,2
FULL,FULL_R0.01_ATR1.0_RR1.25_DL3,1269,588,681,46.34,-9556.28,443.72,-95.56,95.62,-7.5306,-0.9994,,0.01,1.0,1.25,4.72,5.9,3
FULL,FULL_R0.01_ATR1.0_RR1.25_DL4,1334,619,715,46.4,-9619.68,380.32,-96.2,96.27,-7.2112,-0.9992,,0.01,1.0,1.25,4.69,5.86,4
FULL,FULL_R0.01_ATR1.0_RR1.25_DL5,1355,629,726,46.42,-9639.03,360.97,-96.39,96.46,-7.1137,-0.9992,,0.01,1.0,1.25,4.67,5.84,5
